FromID,ToID,Relation_value,Relation_type,FromType,ToType
16654,485678,0.0150469,ORorBETA,Phenotype,SNP
64096,485679,0.0159,ORorBETA,Phenotype,SNP
63985,485680,0.1181,ORorBETA,Phenotype,SNP
16654,485681,0.0148496,ORorBETA,Phenotype,SNP
17367,485682,-0.00508459,ORorBETA,Phenotype,SNP
17367,485683,-0.00602956,ORorBETA,Phenotype,SNP
64096,485684,-0.0155,ORorBETA,Phenotype,SNP
17367,485684,0.0122886,ORorBETA,Phenotype,SNP
16654,485684,0.0151062,ORorBETA,Phenotype,SNP
2326,485684,-0.0148,ORorBETA,Phenotype,SNP
63986,485685,-0.147,ORorBETA,Phenotype,SNP
64096,485686,-0.0163,ORorBETA,Phenotype,SNP
16654,485686,0.0151016,ORorBETA,Phenotype,SNP
17367,485687,-0.0112944,ORorBETA,Phenotype,SNP
63986,485688,-0.094,ORorBETA,Phenotype,SNP
63984,485688,-0.152,ORorBETA,Phenotype,SNP
19,485688,-0.00754041,ORorBETA,Phenotype,SNP
68,485688,-0.0097,ORorBETA,Phenotype,SNP
64001,485688,-0.0233,ORorBETA,Phenotype,SNP
17367,485689,-0.0074059,ORorBETA,Phenotype,SNP
64096,485690,0.0146,ORorBETA,Phenotype,SNP
63986,485691,0.1302,ORorBETA,Phenotype,SNP
19,485691,-0.0209911,ORorBETA,Phenotype,SNP
64001,485691,0.0442,ORorBETA,Phenotype,SNP
63984,485691,0.2168,ORorBETA,Phenotype,SNP
17367,485692,-0.032297,ORorBETA,Phenotype,SNP
19,485692,0.0261378,ORorBETA,Phenotype,SNP
2326,485692,-0.021,ORorBETA,Phenotype,SNP
5273,485693,-0.0106,ORorBETA,Phenotype,SNP
64203,485693,-0.0106,ORorBETA,Phenotype,SNP
64001,485693,-0.0212,ORorBETA,Phenotype,SNP
63986,485694,-0.1018,ORorBETA,Phenotype,SNP
63984,485695,-0.1421,ORorBETA,Phenotype,SNP
16654,485696,0.0132253,ORorBETA,Phenotype,SNP
63984,485697,0.149,ORorBETA,Phenotype,SNP
63984,485698,-0.1782,ORorBETA,Phenotype,SNP
63986,485698,-0.0999,ORorBETA,Phenotype,SNP
63984,485699,-0.1788,ORorBETA,Phenotype,SNP
63986,485699,-0.1001,ORorBETA,Phenotype,SNP
63986,485700,-0.1438,ORorBETA,Phenotype,SNP
68,485701,0.0098,ORorBETA,Phenotype,SNP
17367,485701,0.00735684,ORorBETA,Phenotype,SNP
64096,485702,0.0167,ORorBETA,Phenotype,SNP
17367,485703,0.0064288,ORorBETA,Phenotype,SNP
63985,485704,0.1813,ORorBETA,Phenotype,SNP
63984,485704,0.2319,ORorBETA,Phenotype,SNP
16654,485705,0.0319159,ORorBETA,Phenotype,SNP
64096,485706,0.0176,ORorBETA,Phenotype,SNP
16654,485707,-0.0378073,ORorBETA,Phenotype,SNP
17367,485708,-0.00611509,ORorBETA,Phenotype,SNP
63985,485709,0.1402,ORorBETA,Phenotype,SNP
16654,485710,-0.0158798,ORorBETA,Phenotype,SNP
