FromID,ToID,Relation_value,Relation_type,FromType,ToType
18291,18292,4693.72,ORorBETA,Phenotype,SNP
17884,20670,1713.846,ORorBETA,Phenotype,SNP
17884,17885,969.0496,ORorBETA,Phenotype,SNP
17301,17375,413.96295,ORorBETA,Phenotype,SNP
16777,16778,102.75902,ORorBETA,Phenotype,SNP
17301,18069,64.87364,ORorBETA,Phenotype,SNP
16505,17920,59.74,ORorBETA,Phenotype,SNP
16109,16289,45.8,ORorBETA,Phenotype,SNP
17178,17179,34.08,ORorBETA,Phenotype,SNP
17301,18943,32.228397,ORorBETA,Phenotype,SNP
16542,16543,26.21,ORorBETA,Phenotype,SNP
16755,17261,19.527,ORorBETA,Phenotype,SNP
20205,18236,18.534,ORorBETA,Phenotype,SNP
16755,16756,14.753,ORorBETA,Phenotype,SNP
2336,16684,14.3539837522901,ORorBETA,Phenotype,SNP
16755,20896,14.152,ORorBETA,Phenotype,SNP
20861,20862,13.91,ORorBETA,Phenotype,SNP
17868,18938,13.673607,ORorBETA,Phenotype,SNP
17970,17971,13.32,ORorBETA,Phenotype,SNP
19086,19457,13.151,ORorBETA,Phenotype,SNP
18159,18160,12.699,ORorBETA,Phenotype,SNP
18905,18906,11.91,ORorBETA,Phenotype,SNP
17172,20851,11.803,ORorBETA,Phenotype,SNP
16452,16453,10.731,ORorBETA,Phenotype,SNP
17822,17823,10.3,ORorBETA,Phenotype,SNP
17105,18567,10.096,ORorBETA,Phenotype,SNP
20206,20243,10.04716,ORorBETA,Phenotype,SNP
16482,17080,9.997,ORorBETA,Phenotype,SNP
17642,17643,9.33,ORorBETA,Phenotype,SNP
16440,16441,9.320349,ORorBETA,Phenotype,SNP
17970,20530,9.048,ORorBETA,Phenotype,SNP
16546,16547,8.723,ORorBETA,Phenotype,SNP
20434,20435,8.672,ORorBETA,Phenotype,SNP
18930,18931,8.66,ORorBETA,Phenotype,SNP
17105,20414,8.62,ORorBETA,Phenotype,SNP
17822,20963,8.46,ORorBETA,Phenotype,SNP
17964,17965,8.419,ORorBETA,Phenotype,SNP
18074,19085,8.246,ORorBETA,Phenotype,SNP
68,19774,8.04,ORorBETA,Phenotype,SNP
20250,20251,7.932,ORorBETA,Phenotype,SNP
17739,17740,7.92,ORorBETA,Phenotype,SNP
17642,20591,7.81,ORorBETA,Phenotype,SNP
2341,18148,7.71724647555388,ORorBETA,Phenotype,SNP
20924,20925,7.71,ORorBETA,Phenotype,SNP
20625,20626,7.68,ORorBETA,Phenotype,SNP
2337,16585,7.65474930376802,ORorBETA,Phenotype,SNP
17442,17443,7.61,ORorBETA,Phenotype,SNP
21342,21217,7.5980383148254,ORorBETA,Phenotype,SNP
19361,19362,7.444,ORorBETA,Phenotype,SNP
16681,17605,7.444,ORorBETA,Phenotype,SNP
17642,18429,7.44,ORorBETA,Phenotype,SNP
16609,16610,7.394,ORorBETA,Phenotype,SNP
16256,16937,7.21,ORorBETA,Phenotype,SNP
19582,19416,7.028,ORorBETA,Phenotype,SNP
18045,18046,6.961,ORorBETA,Phenotype,SNP
17937,17938,6.95,ORorBETA,Phenotype,SNP
21030,21031,6.94,ORorBETA,Phenotype,SNP
16047,16048,6.784,ORorBETA,Phenotype,SNP
17178,20124,6.77,ORorBETA,Phenotype,SNP
17172,20302,6.726,ORorBETA,Phenotype,SNP
17642,18904,6.67,ORorBETA,Phenotype,SNP
16584,18369,6.64,ORorBETA,Phenotype,SNP
17485,17486,6.628,ORorBETA,Phenotype,SNP
2332,21316,6.61457407629734,ORorBETA,Phenotype,SNP
19086,19235,6.54,ORorBETA,Phenotype,SNP
17190,19134,6.54,ORorBETA,Phenotype,SNP
17172,20029,6.511,ORorBETA,Phenotype,SNP
17190,18822,6.5,ORorBETA,Phenotype,SNP
19755,19756,6.491039,ORorBETA,Phenotype,SNP
19895,21032,6.43,ORorBETA,Phenotype,SNP
18964,18965,6.403,ORorBETA,Phenotype,SNP
16571,16572,6.36869,ORorBETA,Phenotype,SNP
17789,17911,6.32,ORorBETA,Phenotype,SNP
18074,19246,6.256,ORorBETA,Phenotype,SNP
19785,19786,6.23,ORorBETA,Phenotype,SNP
17471,17472,6.2,ORorBETA,Phenotype,SNP
17868,17869,6.1814904,ORorBETA,Phenotype,SNP
17172,17173,6.134,ORorBETA,Phenotype,SNP
16256,16257,6.11,ORorBETA,Phenotype,SNP
17937,19189,6.1,ORorBETA,Phenotype,SNP
16546,20111,6.096,ORorBETA,Phenotype,SNP
19895,19896,6.079,ORorBETA,Phenotype,SNP
17789,17790,5.98,ORorBETA,Phenotype,SNP
17937,21033,5.98,ORorBETA,Phenotype,SNP
19322,19323,5.902,ORorBETA,Phenotype,SNP
16256,18587,5.89,ORorBETA,Phenotype,SNP
18235,18236,5.858,ORorBETA,Phenotype,SNP
20825,20826,5.809,ORorBETA,Phenotype,SNP
19741,19742,5.76,ORorBETA,Phenotype,SNP
16784,16785,5.734,ORorBETA,Phenotype,SNP
16546,16934,5.724,ORorBETA,Phenotype,SNP
16455,16456,5.72,ORorBETA,Phenotype,SNP
17494,17495,5.704,ORorBETA,Phenotype,SNP
17190,20456,5.69,ORorBETA,Phenotype,SNP
17629,17630,5.686,ORorBETA,Phenotype,SNP
17868,19068,5.6531057,ORorBETA,Phenotype,SNP
16546,17912,5.631,ORorBETA,Phenotype,SNP
20927,20928,5.63,ORorBETA,Phenotype,SNP
16765,16766,5.623,ORorBETA,Phenotype,SNP
17396,17397,5.61,ORorBETA,Phenotype,SNP
16546,20202,5.553,ORorBETA,Phenotype,SNP
17251,17252,5.5459614,ORorBETA,Phenotype,SNP
17105,17106,5.542,ORorBETA,Phenotype,SNP
20840,20841,5.51,ORorBETA,Phenotype,SNP
19363,19364,5.506,ORorBETA,Phenotype,SNP
16531,17316,5.502,ORorBETA,Phenotype,SNP
18074,19230,5.465,ORorBETA,Phenotype,SNP
17172,17881,5.454,ORorBETA,Phenotype,SNP
16681,17063,5.324,ORorBETA,Phenotype,SNP
16681,16682,5.222,ORorBETA,Phenotype,SNP
17987,17988,5.216,ORorBETA,Phenotype,SNP
16861,16862,5.165,ORorBETA,Phenotype,SNP
