FromID,ToID,Relation_value,Relation_type,FromType,ToType
18378,18379,4693.72,ORorBETA,Phenotype,SNP
17971,20757,1713.846,ORorBETA,Phenotype,SNP
17971,17972,969.0496,ORorBETA,Phenotype,SNP
17388,17462,413.96295,ORorBETA,Phenotype,SNP
16864,16865,102.75902,ORorBETA,Phenotype,SNP
17388,18156,64.87364,ORorBETA,Phenotype,SNP
16592,18007,59.74,ORorBETA,Phenotype,SNP
20263,21078,52.8,ORorBETA,Phenotype,SNP
16196,16376,45.8,ORorBETA,Phenotype,SNP
17265,17266,34.08,ORorBETA,Phenotype,SNP
17388,19030,32.228397,ORorBETA,Phenotype,SNP
16629,16630,26.21,ORorBETA,Phenotype,SNP
16842,17348,19.527,ORorBETA,Phenotype,SNP
20292,18323,18.534,ORorBETA,Phenotype,SNP
16842,16843,14.753,ORorBETA,Phenotype,SNP
2336,16771,14.3539837522901,ORorBETA,Phenotype,SNP
16842,20983,14.152,ORorBETA,Phenotype,SNP
20948,20949,13.91,ORorBETA,Phenotype,SNP
17955,19025,13.673607,ORorBETA,Phenotype,SNP
18057,18058,13.32,ORorBETA,Phenotype,SNP
19173,19544,13.151,ORorBETA,Phenotype,SNP
18246,18247,12.699,ORorBETA,Phenotype,SNP
18992,18993,11.91,ORorBETA,Phenotype,SNP
17259,20938,11.803,ORorBETA,Phenotype,SNP
16539,16540,10.731,ORorBETA,Phenotype,SNP
17909,17910,10.3,ORorBETA,Phenotype,SNP
17192,18654,10.096,ORorBETA,Phenotype,SNP
20293,20330,10.04716,ORorBETA,Phenotype,SNP
16569,17167,9.997,ORorBETA,Phenotype,SNP
17729,17730,9.33,ORorBETA,Phenotype,SNP
16527,16528,9.320349,ORorBETA,Phenotype,SNP
18057,20617,9.048,ORorBETA,Phenotype,SNP
16633,16634,8.723,ORorBETA,Phenotype,SNP
20521,20522,8.672,ORorBETA,Phenotype,SNP
19017,19018,8.66,ORorBETA,Phenotype,SNP
17192,20501,8.62,ORorBETA,Phenotype,SNP
17909,21050,8.46,ORorBETA,Phenotype,SNP
18051,18052,8.419,ORorBETA,Phenotype,SNP
18161,19172,8.246,ORorBETA,Phenotype,SNP
68,19861,8.04,ORorBETA,Phenotype,SNP
20337,20338,7.932,ORorBETA,Phenotype,SNP
17826,17827,7.92,ORorBETA,Phenotype,SNP
17729,20678,7.81,ORorBETA,Phenotype,SNP
2341,18235,7.71724647555388,ORorBETA,Phenotype,SNP
21011,21012,7.71,ORorBETA,Phenotype,SNP
20712,20713,7.68,ORorBETA,Phenotype,SNP
2337,16672,7.65474930376802,ORorBETA,Phenotype,SNP
17529,17530,7.61,ORorBETA,Phenotype,SNP
21458,21333,7.5980383148254,ORorBETA,Phenotype,SNP
16768,17692,7.444,ORorBETA,Phenotype,SNP
19448,19449,7.444,ORorBETA,Phenotype,SNP
17729,18516,7.44,ORorBETA,Phenotype,SNP
16696,16697,7.394,ORorBETA,Phenotype,SNP
16768,21103,7.222,ORorBETA,Phenotype,SNP
16343,17024,7.21,ORorBETA,Phenotype,SNP
19669,19503,7.028,ORorBETA,Phenotype,SNP
18132,18133,6.961,ORorBETA,Phenotype,SNP
18024,18025,6.95,ORorBETA,Phenotype,SNP
21144,21145,6.94,ORorBETA,Phenotype,SNP
16134,16135,6.784,ORorBETA,Phenotype,SNP
17265,20211,6.77,ORorBETA,Phenotype,SNP
