FromID,ToID,Relation_value,Relation_type,FromType,ToType
63989,152934,-0.1908,ORorBETA,Phenotype,SNP
63984,152935,0.2997,ORorBETA,Phenotype,SNP
63987,152936,0.2502,ORorBETA,Phenotype,SNP
63987,152937,-0.1892,ORorBETA,Phenotype,SNP
63989,152938,0.1628,ORorBETA,Phenotype,SNP
63987,152938,0.4054,ORorBETA,Phenotype,SNP
63984,152938,0.2532,ORorBETA,Phenotype,SNP
63984,152939,0.2561,ORorBETA,Phenotype,SNP
63987,152940,0.1878,ORorBETA,Phenotype,SNP
63987,152941,-0.6735,ORorBETA,Phenotype,SNP
72,152942,-0.0277655,ORorBETA,Phenotype,SNP
63984,152943,0.2401,ORorBETA,Phenotype,SNP
63989,152944,0.1202,ORorBETA,Phenotype,SNP
64037,21437,-0.0146,ORorBETA,Phenotype,SNP
63984,152945,-0.111,ORorBETA,Phenotype,SNP
63989,152946,-0.1614,ORorBETA,Phenotype,SNP
64037,152947,0.02,ORorBETA,Phenotype,SNP
64037,152948,-0.0637,ORorBETA,Phenotype,SNP
63989,152949,-0.3778,ORorBETA,Phenotype,SNP
63984,152950,0.1825,ORorBETA,Phenotype,SNP
63987,152950,0.2728,ORorBETA,Phenotype,SNP
64037,152951,-0.0164,ORorBETA,Phenotype,SNP
68,152952,0.0245,ORorBETA,Phenotype,SNP
63987,152953,-0.2435,ORorBETA,Phenotype,SNP
64037,152954,-0.0297,ORorBETA,Phenotype,SNP
64037,152955,-0.0624,ORorBETA,Phenotype,SNP
64037,152956,-0.0193,ORorBETA,Phenotype,SNP
63984,152957,0.1487,ORorBETA,Phenotype,SNP
63989,152957,0.2059,ORorBETA,Phenotype,SNP
63987,152957,0.3386,ORorBETA,Phenotype,SNP
63989,152958,-0.142,ORorBETA,Phenotype,SNP
63987,152958,-0.1809,ORorBETA,Phenotype,SNP
64037,152959,0.0158,ORorBETA,Phenotype,SNP
63989,152960,0.3366,ORorBETA,Phenotype,SNP
63987,152960,0.3373,ORorBETA,Phenotype,SNP
64037,152961,0.0209,ORorBETA,Phenotype,SNP
63987,152962,0.2189,ORorBETA,Phenotype,SNP
63989,152962,0.1537,ORorBETA,Phenotype,SNP
63987,152963,-0.2399,ORorBETA,Phenotype,SNP
63989,152963,-0.1445,ORorBETA,Phenotype,SNP
63984,152963,-0.1043,ORorBETA,Phenotype,SNP
64037,152964,0.0268,ORorBETA,Phenotype,SNP
63989,152965,0.1715,ORorBETA,Phenotype,SNP
63984,152965,-0.2122,ORorBETA,Phenotype,SNP
63987,152966,-0.191,ORorBETA,Phenotype,SNP
